depth	# bases at depth	size of A	% of A at depth
383	15608	3137161264	0.0000050
384	15302	3137161264	0.0000049
385	15339	3137161264	0.0000049
386	15266	3137161264	0.0000049
387	15058	3137161264	0.0000048
388	14949	3137161264	0.0000048
389	14520	3137161264	0.0000046
390	14716	3137161264	0.0000047
391	14249	3137161264	0.0000045
392	14402	3137161264	0.0000046
393	14089	3137161264	0.0000045
394	14321	3137161264	0.0000046
395	13926	3137161264	0.0000044
396	14285	3137161264	0.0000046
397	13838	3137161264	0.0000044
398	13851	3137161264	0.0000044
399	13768	3137161264	0.0000044
400	13715	3137161264	0.0000044
401	13510	3137161264	0.0000043
402	13485	3137161264	0.0000043
403	13465	3137161264	0.0000043
404	13267	3137161264	0.0000042
405	13130	3137161264	0.0000042
406	13249	3137161264	0.0000042
407	12843	3137161264	0.0000041
408	12995	3137161264	0.0000041
409	12679	3137161264	0.0000040
410	12682	3137161264	0.0000040
411	12688	3137161264	0.0000040
412	12859	3137161264	0.0000041
413	12454	3137161264	0.0000040
414	12500	3137161264	0.0000040
415	12397	3137161264	0.0000040
416	12050	3137161264	0.0000038
417	11974	3137161264	0.0000038
418	12147	3137161264	0.0000039
419	12427	3137161264	0.0000040
420	12055	3137161264	0.0000038
421	11912	3137161264	0.0000038
422	11493	3137161264	0.0000037
423	11652	3137161264	0.0000037
424	11653	3137161264	0.0000037
425	11463	3137161264	0.0000037
426	11285	3137161264	0.0000036
427	11261	3137161264	0.0000036
428	11323	3137161264	0.0000036
429	10959	3137161264	0.0000035
430	11166	3137161264	0.0000036
431	11112	3137161264	0.0000035
432	10993	3137161264	0.0000035
433	10757	3137161264	0.0000034
434	10785	3137161264	0.0000034
435	10625	3137161264	0.0000034
436	10874	3137161264	0.0000035
437	10534	3137161264	0.0000034
438	10364	3137161264	0.0000033
439	10395	3137161264	0.0000033
440	10466	3137161264	0.0000033
441	10489	3137161264	0.0000033
442	10348	3137161264	0.0000033
443	10230	3137161264	0.0000033
444	9975	3137161264	0.0000032
445	10018	3137161264	0.0000032
446	10175	3137161264	0.0000032
447	10068	3137161264	0.0000032
448	10291	3137161264	0.0000033
449	9782	3137161264	0.0000031
450	9759	3137161264	0.0000031
451	9607	3137161264	0.0000031
452	9691	3137161264	0.0000031
453	9504	3137161264	0.0000030
454	9704	3137161264	0.0000031
455	9162	3137161264	0.0000029
456	9406	3137161264	0.0000030
457	9135	3137161264	0.0000029
458	9361	3137161264	0.0000030
459	9202	3137161264	0.0000029
460	9351	3137161264	0.0000030
461	9094	3137161264	0.0000029
462	9205	3137161264	0.0000029
463	9051	3137161264	0.0000029
464	9132	3137161264	0.0000029
465	8624	3137161264	0.0000027
466	8823	3137161264	0.0000028
467	8776	3137161264	0.0000028
468	8821	3137161264	0.0000028
469	8659	3137161264	0.0000028
470	8465	3137161264	0.0000027
471	8642	3137161264	0.0000028
472	8401	3137161264	0.0000027
473	8284	3137161264	0.0000026
474	8367	3137161264	0.0000027
475	8223	3137161264	0.0000026
476	8218	3137161264	0.0000026
477	8213	3137161264	0.0000026
478	8151	3137161264	0.0000026
479	8012	3137161264	0.0000026
480	7965	3137161264	0.0000025
481	7924	3137161264	0.0000025
482	7669	3137161264	0.0000024
483	7829	3137161264	0.0000025
484	7697	3137161264	0.0000025
485	8019	3137161264	0.0000026
486	7838	3137161264	0.0000025
487	7768	3137161264	0.0000025
488	7550	3137161264	0.0000024
489	7588	3137161264	0.0000024
490	7372	3137161264	0.0000023
491	7453	3137161264	0.0000024
492	7495	3137161264	0.0000024
493	7466	3137161264	0.0000024
494	7598	3137161264	0.0000024
495	7318	3137161264	0.0000023
496	7340	3137161264	0.0000023
497	7190	3137161264	0.0000023
498	7104	3137161264	0.0000023
499	6959	3137161264	0.0000022
500	6947	3137161264	0.0000022
501	7036	3137161264	0.0000022
502	7004	3137161264	0.0000022
503	6838	3137161264	0.0000022
504	6861	3137161264	0.0000022
505	6787	3137161264	0.0000022
506	6734	3137161264	0.0000021
507	6802	3137161264	0.0000022
508	6527	3137161264	0.0000021
509	6482	3137161264	0.0000021
510	6452	3137161264	0.0000021
511	6495	3137161264	0.0000021
512	6519	3137161264	0.0000021
513	6401	3137161264	0.0000020
514	6595	3137161264	0.0000021
515	6346	3137161264	0.0000020
516	6381	3137161264	0.0000020
517	6402	3137161264	0.0000020
518	6236	3137161264	0.0000020
519	6278	3137161264	0.0000020
520	6178	3137161264	0.0000020
521	6359	3137161264	0.0000020
522	6146	3137161264	0.0000020
