	Count	Standard_1	Standard_2	K562_Fishman-Gridina_ExoCBel	K562_Fishman-Gridina_Quarantine
1010011101	74	0	0	0	1
1010011110	4	0	0	1	0
1010011111	146	0	0	1	1
1010100000	1450	0	0	0	0
1010100001	1266	0	0	0	1
1010100010	545	0	0	1	0
1010100011	1937	0	0	1	1
1010100100	5678	0	0	0	0
1010100101	10914	0	0	0	1
1010100110	4678	0	0	1	0
1010100111	22537	0	0	1	1
1010101000	13	0	0	0	0
1010101001	19	0	0	0	1
1010101010	7	0	0	1	0
1010101011	28	0	0	1	1
1010101100	1617	0	0	0	0
1010101101	6335	0	0	0	1
1010101110	1432	0	0	1	0
1010101111	16307	0	0	1	1
1010110000	79	0	0	0	0
1010110001	71	0	0	0	1
1010110010	27	0	0	1	0
1010110011	107	0	0	1	1
1010110100	641	0	0	0	0
1010110101	1277	0	0	0	1
1010110110	455	0	0	1	0
1010110111	2415	0	0	1	1
1010111000	1	0	0	0	0
1010111001	3	0	0	0	1
1010111010	1	0	0	1	0
1010111011	10	0	0	1	1
1010111100	431	0	0	0	0
1010111101	1593	0	0	0	1
1010111110	376	0	0	1	0
1010111111	3806	0	0	1	1
1011000000	79	0	0	0	0
1011000001	38	0	0	0	1
1011000010	34	0	0	1	0
1011000011	61	0	0	1	1
1011000100	81	0	0	0	0
1011000101	112	0	0	0	1
1011000110	62	0	0	1	0
1011000111	219	0	0	1	1
1011001000	2	0	0	0	0
1011001001	4	0	0	0	1
1011001010	4	0	0	1	0
1011001011	2	0	0	1	1
1011001100	41	0	0	0	0
1011001101	113	0	0	0	1
1011001110	39	0	0	1	0
1011001111	344	0	0	1	1
1011010000	8	0	0	0	0
1011010001	8	0	0	0	1
1011010010	6	0	0	1	0
1011010011	17	0	0	1	1
1011010100	15	0	0	0	0
1011010101	11	0	0	0	1
1011010110	5	0	0	1	0
1011010111	21	0	0	1	1
1011011000	2	0	0	0	0
1011011010	3	0	0	1	0
1011011011	1	0	0	1	1
1011011100	9	0	0	0	0
1011011101	28	0	0	0	1
1011011110	5	0	0	1	0
1011011111	37	0	0	1	1
1011100000	150	0	0	0	0
1011100001	185	0	0	0	1
1011100010	65	0	0	1	0
1011100011	416	0	0	1	1
1011100100	1648	0	0	0	0
1011100101	4454	0	0	0	1
1011100110	1613	0	0	1	0
1011100111	14180	0	0	1	1
1011101000	6	0	0	0	0
1011101001	14	0	0	0	1
1011101010	14	0	0	1	0
1011101011	13	0	0	1	1
1011101100	1119	0	0	0	0
1011101101	5771	0	0	0	1
1011101110	987	0	0	1	0
1011101111	15408	0	0	1	1
1011110000	38	0	0	0	0
1011110001	70	0	0	0	1
1011110010	28	0	0	1	0
1011110011	114	0	0	1	1
1011110100	1127	0	0	0	0
1011110101	3192	0	0	0	1
1011110110	848	0	0	1	0
1011110111	7873	0	0	1	1
1011111000	1	0	0	0	0
1011111001	5	0	0	0	1
1011111010	4	0	0	1	0
1011111011	27	0	0	1	1
1011111100	1295	0	0	0	0
1011111101	8553	0	0	0	1
1011111110	1125	0	0	1	0
1011111111	23042	0	0	1	1
1100000000	111	0	0	0	0
1100000001	16	0	0	0	1
1100000010	35	0	0	1	0
1100000011	18	0	0	1	1
1100000100	64	0	0	0	0
1100000101	14	0	0	0	1
1100000110	14	0	0	1	0
1100000111	25	0	0	1	1
1100001000	4	0	0	0	0
1100001010	2	0	0	1	0
1100001100	3	0	0	0	0
1100001110	3	0	0	1	0
1100001111	7	0	0	1	1
1100010000	8	0	0	0	0
1100010001	1	0	0	0	1
1100010010	3	0	0	1	0
1100010011	2	0	0	1	1
1100010100	8	0	0	0	0
1100010110	1	0	0	1	0
1100011000	5	0	0	0	0
1100011100	4	0	0	0	0
1100011101	2	0	0	0	1
1100100000	34	0	0	0	0
1100100001	11	0	0	0	1
1100100010	16	0	0	1	0
1100100011	39	0	0	1	1
1100100100	36	0	0	0	0
1100100101	43	0	0	0	1
1100100110	39	0	0	1	0
1100100111	46	0	0	1	1
1100101000	3	0	0	0	0
1100101010	4	0	0	1	0
1100101011	2	0	0	1	1
1100101100	8	0	0	0	0
1100101101	10	0	0	0	1
1100101110	8	0	0	1	0
1100101111	5	0	0	1	1
1100110000	2	0	0	0	0
1100110010	1	0	0	1	0
1100110011	3	0	0	1	1
1100110100	5	0	0	0	0
1100110101	7	0	0	0	1
1100110110	12	0	0	1	0
1100110111	6	0	0	1	1
1100111010	2	0	0	1	0
1100111011	2	0	0	1	1
1100111100	2	0	0	0	0
1100111101	2	0	0	0	1
1100111111	1	0	0	1	1
1101000000	10	0	0	0	0
1101000001	5	0	0	0	1
1101000010	4	0	0	1	0
